SERIALNO,OCCP,AGEP,SEX,RAC1P,HISP,SCHL,STATE,PUMA,ESR,WAGP,COW,WKHP
2019GQ0014639,,84,1,1,1,16.0,21,2500,6.0,0.0,,
2019GQ0014712,,50,2,1,1,16.0,21,1500,6.0,0.0,,
2019GQ0014725,6260.0,40,1,1,1,11.0,21,2600,6.0,15600.0,1.0,40.0
2019GQ0014746,,36,1,1,1,11.0,21,1800,6.0,0.0,,
2019GQ0014787,4940.0,19,1,1,2,17.0,21,100,1.0,1200.0,1.0,15.0
2019GQ0014900,,18,1,1,1,19.0,21,2600,6.0,0.0,,
2019GQ0014940,4720.0,20,2,1,1,19.0,21,500,1.0,7200.0,1.0,24.0
2019GQ0014961,,70,2,1,1,10.0,21,1100,6.0,0.0,,
2019GQ0015021,,32,1,1,1,15.0,21,2600,6.0,0.0,,
2019GQ0015058,8990.0,31,1,8,2,17.0,21,1100,6.0,26000.0,5.0,45.0
2019GQ0015085,,36,2,1,1,19.0,21,1100,6.0,0.0,,
2019GQ0015268,,18,1,1,1,16.0,21,1901,6.0,0.0,,
2019GQ0015412,,78,2,1,1,16.0,21,2600,6.0,0.0,,
2019GQ0015431,3960.0,18,1,1,1,18.0,21,900,6.0,300.0,1.0,15.0
2019GQ0015623,4420.0,19,1,1,1,16.0,21,1901,6.0,170.0,1.0,5.0
2019GQ0015695,,20,1,1,1,19.0,21,2100,6.0,0.0,,
2019GQ0015759,4055.0,18,1,1,1,14.0,21,600,6.0,1200.0,1.0,35.0
2019GQ0015819,,50,2,1,1,12.0,21,1701,6.0,0.0,,
2019GQ0016017,9825.0,19,1,2,1,16.0,21,300,4.0,23000.0,5.0,50.0
2019GQ0016073,,38,1,1,1,17.0,21,1500,6.0,0.0,,
2019GQ0016089,,16,2,1,1,12.0,21,1703,6.0,0.0,,
2019GQ0016204,,18,1,2,1,16.0,21,2200,6.0,0.0,,
2019GQ0016277,,61,1,1,1,16.0,21,1300,6.0,0.0,,
2019GQ0016280,4435.0,19,2,1,1,19.0,21,2400,1.0,7000.0,1.0,14.0
2019GQ0016288,,18,1,1,1,18.0,21,2200,6.0,0.0,,
2019GQ0016341,4760.0,23,1,1,1,19.0,21,1100,1.0,7500.0,1.0,40.0
2019GQ0016345,,88,1,1,1,11.0,21,1702,6.0,0.0,,
2019GQ0016428,6260.0,34,1,8,2,16.0,21,1902,6.0,0.0,1.0,
2019GQ0016443,3960.0,19,1,1,1,16.0,21,1901,1.0,1900.0,3.0,20.0
2019GQ0016475,,55,1,1,1,19.0,21,1706,6.0,0.0,,
2019GQ0016479,4640.0,23,2,1,1,19.0,21,100,1.0,20000.0,4.0,20.0
2019GQ0016569,9130.0,51,1,1,1,19.0,21,1800,6.0,0.0,1.0,
2019GQ0016674,7330.0,39,1,1,1,19.0,21,2700,6.0,0.0,1.0,
2019GQ0016745,9810.0,22,1,1,3,18.0,21,300,4.0,24000.0,5.0,40.0
2019GQ0016838,4760.0,21,1,2,24,16.0,21,1600,6.0,11800.0,1.0,40.0
2019GQ0016848,,57,1,1,1,16.0,21,1500,6.0,0.0,,
2019GQ0016863,,71,2,2,1,19.0,21,1703,6.0,0.0,,
2019GQ0016865,7750.0,18,1,1,1,16.0,21,500,6.0,7500.0,1.0,15.0
2019GQ0016873,5040.0,20,1,1,1,16.0,21,100,6.0,26300.0,5.0,40.0
2019GQ0016904,4020.0,39,2,1,1,16.0,21,2300,6.0,0.0,1.0,
