education_required,mean_annual_wage,percent_change,occupation,job_type
High school diploma or equivalent,56990.0,6.1347,493042,Both
High school diploma or equivalent,58790.0,5.6361,493043,Both
High school diploma or equivalent,41920.0,7.8146,493051,High-Demand
Postsecondary nondegree award,43220.0,7.0833,493052,High-Demand
High school diploma or equivalent,43800.0,13.4615,493091,High-Demand
High school diploma or equivalent,42490.0,13.7931,493092,High-Demand
High school diploma or equivalent,46480.0,9.8361,499011,High-Demand
High school diploma or equivalent,60060.0,2.71,499012,High-Wage
Postsecondary nondegree award,53870.0,5.3648,499021,Both
High school diploma or equivalent,62180.0,19.2987,499041,Both
High school diploma or equivalent,57370.0,8.0357,499043,Both
High school diploma or equivalent,64030.0,7.8125,499044,Both
High school diploma or equivalent,74300.0,8.0095,499051,Both
High school diploma or equivalent,56560.0,9.282,499052,Both
Associate degree,53330.0,15.3128,499062,Both
High school diploma or equivalent,74370.0,5.6604,499069,Both
High school diploma or equivalent,47560.0,6.5596,499071,High-Demand
Postsecondary nondegree award,63110.0,14.6226,499092,Both
High school diploma or equivalent,62300.0,3.2,499096,High-Wage
High school diploma or equivalent,70300.0,0.8772,499097,High-Wage
High school diploma or equivalent,49980.0,5.1318,499099,High-Demand
High school diploma or equivalent,70350.0,4.7575,511011,High-Wage
High school diploma or equivalent,42050.0,7.1144,512028,High-Demand
No formal educational credential,35060.0,6.8019,513011,High-Demand
High school diploma or equivalent,42050.0,8.9853,513092,High-Demand
High school diploma or equivalent,55710.0,-4.985,514022,High-Wage
High school diploma or equivalent,51570.0,-12.7358,514035,High-Wage
High school diploma or equivalent,52040.0,8.1843,514041,Both
High school diploma or equivalent,53290.0,-2.2416,514051,High-Wage
High school diploma or equivalent,50390.0,-4.2735,514052,High-Wage
High school diploma or equivalent,44530.0,6.2954,514081,High-Demand
Postsecondary nondegree award,62190.0,-1.3122,514111,High-Wage
High school diploma or equivalent,47950.0,8.1046,514121,High-Demand
High school diploma or equivalent,54240.0,-0.4973,514122,High-Wage
High school diploma or equivalent,40890.0,5.2239,517011,High-Demand
High school diploma or equivalent,37650.0,6.424,517021,High-Demand
High school diploma or equivalent,97070.0,-2.7972,518012,High-Wage
High school diploma or equivalent,81480.0,-8.4337,518013,High-Wage
High school diploma or equivalent,62870.0,1.4388,518021,High-Wage
High school diploma or equivalent,72480.0,-3.7736,518091,High-Wage
High school diploma or equivalent,64660.0,-10.8434,518092,High-Wage
High school diploma or equivalent,71720.0,-3.1359,518093,High-Wage
High school diploma or equivalent,67580.0,-1.5038,518099,High-Wage
High school diploma or equivalent,56680.0,-5.3854,519011,High-Wage
High school diploma or equivalent,53440.0,-0.4425,519012,High-Wage
High school diploma or equivalent,50040.0,3.7296,519023,High-Wage
No formal educational credential,45190.0,6.993,519123,High-Demand
High school diploma or equivalent,51700.0,8.1299,519124,Both
Postsecondary nondegree award,60040.0,20.9016,519162,Both
High school diploma or equivalent,41260.0,6.1444,519195,High-Demand
High school diploma or equivalent,53470.0,-7.5992,519196,High-Wage
High school diploma or equivalent,37960.0,5.3532,519199,High-Demand
Not reported,48470.0,10.5066,530000,High-Demand
Postsecondary nondegree award,150530.0,6.2222,532012,Both
High school diploma or equivalent,124400.0,11.6667,532022,Both
High school diploma or equivalent,,14.8438,532031,High-Demand
High school diploma or equivalent,35570.0,14.0556,533031,High-Demand
Postsecondary nondegree award,55070.0,7.1812,533032,Both
High school diploma or equivalent,46580.0,13.2662,533033,High-Demand
High school diploma or equivalent,46730.0,9.421,533052,High-Demand
No formal educational credential,30220.0,13.9745,533053,High-Demand
No formal educational credential,,26.7145,533054,High-Demand
No formal educational credential,32730.0,12.7466,533099,High-Demand
High school diploma or equivalent,76490.0,0.5634,534011,High-Wage
High school diploma or equivalent,49640.0,8.4848,534099,High-Demand
No formal educational credential,47020.0,6.1143,535011,High-Demand
Postsecondary nondegree award,,5.3419,535021,High-Demand
High school diploma or equivalent,55220.0,-3.8835,536011,High-Wage
High school diploma or equivalent,50570.0,12.1212,536032,Both
